Name,2NDTAG,3RDTAG,Agency,Agent notes for human,Area1,Area2,Artifacts,Contact person,Description,Email,Events,Funding Opportunities,Human notes for agent,LinkedIn,Memes,NewsletterScraper (CA),Ontology,Ontology Tags,Phone number,Projects & Areas,Public Email,SAP,Website,related programs and initiatives
eduardo torres,,,ind,,,,,,,,,,,,,,,,,,drac.cycles@gmail.com,,,
Decidim,,,"network/ecosystem, org","Originated from Barcelona/Catalunya civic-tech and democratic innovation ecosystems. Not directly regeneration-focused, but relevant as governance/digital commons infrastructure; CATBIS not added unless civic-tech infrastructure is included.","Ops in Catalunya, Ops in Europe, catalan",,,,"Free and open-source public-common digital infrastructure for participatory democracy, enabling assemblies, consultations, participatory processes, citizen initiatives, and community governance.",,,,,,Eco Social Transition,,,participatory democracy; civic tech; digital commons; public-common infrastructure,,,,,https://decidim.org/,
LaCoordi,,,org,,,,,,,,,,,,,,,,,,comunicacio@lacoordi.cat,,https://lacoordi.cat/,
Terra Restore,,,org,,,,,,,,,,,,,,,,,,,,https://terra-restore.org/terra-restore-english/,
Cambium Permacultura,CATBIS,,org,"Ontology relation filled for permaculture/regenerative agriculture, learning programs, demonstrator-site potential, peer learning and hub/center role.","Ops in Catalunya, Ops in Spain, catalan",regional,,,"Barcelona-based nonprofit permaculture association active since 2003, promoting permaculture as a design and implementation tool for regenerative urban, peri-urban, and rural projects.",,,,,,"Bioregionalism, Eco Social Transition, Regeneration",,"Regenerative_Agriculture (https://app.notion.com/p/Regenerative_Agriculture-3331441510e181a3a4c8d5e5948fe526?pvs=21), Learning_Programs (https://app.notion.com/p/Learning_Programs-3331441510e181f48fccd81f52b7a58f?pvs=21), Demonstrator_Site (https://app.notion.com/p/Demonstrator_Site-3331441510e181008114ef47089f4baa?pvs=21), Peer_Learning (https://app.notion.com/p/Peer_Learning-3331441510e1811fa2ebc276ab53a2f6?pvs=21), Cultural_Hub_or_Learning_Center (https://app.notion.com/p/Cultural_Hub_or_Learning_Center-3331441510e18163bf4ce6a952135f8c?pvs=21)",permaculture; regenerative design; agroecology; regenerative education; urban and rural transition,,,info@permacultura-es.org,"Barcelona-based permaculture association and training node for regenerative design in urban, peri-urban and rural contexts. Relevant to CATBIS through permaculture education, agroecology, regenerative food systems, and practitioner capacity-building in Catalunya and Spain.",https://www.permacultura-es.org/,
The Regen Lab,,,org,,,,,,,,,,,,,,,,,,,,"www.theregenlab.com ",
Club ZCash Barcelona,,,,,,,,,,,,,,,,,,,,,,,https://zcashesp.com/club-zcash-barcelona/,
Digital Innovation Hub Catalonia,,,"org, public body",,,,,,,,,,,,,,,,,,,,https://dih4cat.cat/es/,
SomIT,,,org,,,,,,,,,,,,,,,,,,,,https://somit.coop/,
Jordi Llorens Almansa,,,ind,,,,,,,,,,,,,,,,,,jordillorensalmansa@gmail.com,,,
FemProComuns,,,org,,,,,,,,,,,,,,,,,,,,https://femprocomuns.coop/,
Federico Orozco Mouret,,,ind,,,,,,,,,,,,,,,,,,Federico@terra-restore.org,,Terra Restore,
Finboot,,,org,,,,,,,,,,,,,,,,,,,,https://www.finboot.com/,
Aline VaMo,,,ind,"Public sources identify Aline VaMo / Aline Van Moerbeke as a permaculture facilitator and designer, linked to La Casa Integral and PermaMed, with work on permaculture education, water-cycle restoration, ecological design, and suburban solutions. Existing body note lists related orgs to add separately: La Casa Integral, PermaMed, Biorne Permacultura, Academia Permacultura Íbera, and http://perma.earth. Issue: likely CATBIS/bioreg relevance, but I did not add CATBIS or create/link organization rows in this batch without confirmation.","Ops in Spain, international",,,,"Permaculture designer, facilitator, and educator connected to La Casa Integral, PermaMed, Permacultura Íbera, and international permaculture learning networks.",,,,,,"Bioregionalism, Eco Social Transition, Regeneration",,,,,,AlineVaMo@protonmail.com,,https://www.permaculture.org.uk/user/aline-vamo,
Pomezia,,,"org, space",,,,,,,,,,,,,,,,,,,,,
Artificial Nature,CATBIS,"Circular, Food",org,,"Ops in Catalunya, catalan",Barcelonès,,,"Artificial Nature / DAN*NA is a Barcelona-based advanced materials company developing PLH, a patented bio-based polymer platform for bioplastics, bio-resins, agriculture, cosmetics, and biomedical applications.",,,,,,"Bioeconomy, Eco Social Transition",,"Materials_Transformation (https://app.notion.com/p/Materials_Transformation-3331441510e181788e3ad7ffb8a2be05?pvs=21), Value_Chain_Development (https://app.notion.com/p/Value_Chain_Development-3331441510e181b0bf6efa361478dbf2?pvs=21), Agro-Bioeconomy (https://app.notion.com/p/Agro-Bioeconomy-3331441510e18101a15cf3113a0d0ee2?pvs=21), Construction_and_Infrastructure (https://app.notion.com/p/Construction_and_Infrastructure-3331441510e1817dad9bdcf168000c8f?pvs=21)",bio-based polymers; biomaterials; bioplastics; sustainable materials; bioeconomy; Barcelona,+34 93 5142218,,contact@artificialnature.com,"Barcelona deep-tech biomaterials and bioplastics company based at the Barcelona Science Park. Relevant to CATBIS as Catalan circular bioeconomy infrastructure: bio-based polymers, sustainable materials, zero-microplastic alternatives, agriculture applications, and industrial biomaterials innovation. Area2 set to Barcelonès because the company operates from Barcelona Science Park.",https://artificialnature.com/,
"Jesu Neoindígena ",,,ind,,,,,,,,,,,,,,,,,,reverdecer.diania@gmail.com,,RegenHub.earth/Forest Living/REPESEI,
FCAC Federació de Cooperatives Agràries de Catalunya,CATBIS,,"network/ecosystem, org",Added CATBIS: clear Catalan agricultural-cooperative ecosystem relevance. No collaboration status inferred.,"Ops in Catalunya, catalan",regional,,,Federació de Cooperatives Agràries de Catalunya is the Catalan federation representing agricultural cooperatives across Catalunya.,,,,,,"Bioeconomy, Eco Social Transition, Regeneration",,"Farmer_Support (https://app.notion.com/p/Farmer_Support-3331441510e18121891cff38c403492d?pvs=21), Collective_Ownership_Models (https://app.notion.com/p/Collective_Ownership_Models-3331441510e1811db7b2e4505cc30563?pvs=21), Network_Weaving (https://app.notion.com/p/Network_Weaving-3331441510e18111a00ac80e1492315c?pvs=21), Value_Chain_Development (https://app.notion.com/p/Value_Chain_Development-3331441510e181b0bf6efa361478dbf2?pvs=21), Regenerative_Agriculture (https://app.notion.com/p/Regenerative_Agriculture-3331441510e181a3a4c8d5e5948fe526?pvs=21)",agricultural cooperatives; farmer organizations; agri-food systems; cooperative federation; Catalunya; rural economy,,,,"Catalan federation of agricultural cooperatives. Relevant to CATBIS as agri-food and cooperative ecosystem infrastructure for farmer organizations, rural development, food-system transition, value chains, and bioeconomy in Catalunya.",https://www.cooperativesagraries.cat,
Opcions,,,org,,,,,,,,,,,,,,,,,,,,https://opcions.org/,
"ETIM ",,,org,,,,,,,,,,,,,,,,,,,,https://www.etim.cat/es/la-cooperativa/,
"Yoyo Pasieka ",,,ind,,,,,,,,,,,,,,,,,,yoyopasieka@hotmail.com,,N/a,
ECOLISE,,,org,,,,,,,,,,,,,,,,,,,,https://ecolise.eu/,
Go Zero Waste Startup,,,org,,,,,,,,,,,,,,,,,,,,https://gozerowaste.app/,
Ethsi Ethical and Solidarity Based Insurance,,,,,,,,,,,,,,,,,,,,,,,https://ethsi.net/,
4Bluetech,CATBIS,"Circular, Energy",org,,"Ops in Catalunya, catalan",regional,,,"4BlueTech is a Barcelona-born climate-tech startup developing modular CO₂ / emissions-capture and traceability systems. Its work links carbon capture, air-quality monitoring, circular capture-to-use pathways, and emissions-compensation models.",,,,,,"Bioeconomy, Eco Social Transition",,"Services & Infrastructure (https://app.notion.com/p/Services-Infrastructure-3331441510e18193a321cb34b431013f?pvs=21), Materials_Transformation (https://app.notion.com/p/Materials_Transformation-3331441510e181788e3ad7ffb8a2be05?pvs=21), Formal_Scientific_Process (https://app.notion.com/p/Formal_Scientific_Process-3331441510e181298bb3ee02c9dad9da?pvs=21), Result_Based_Mechanisms (https://app.notion.com/p/Result_Based_Mechanisms-3371441510e180f0a6d2dfce8ad76f4b?pvs=21), Knowledge_Artefacts (https://app.notion.com/p/Knowledge_Artefacts-3331441510e181af8b5ac77d9bd2ab97?pvs=21)",carbon capture; climate tech; air cleaning; circular use; microalgae; emissions measurement; carbon compensation,,,,"Barcelona-born climate/cleantech startup developing modular CO₂ / emissions capture and traceability systems, with circular capture-to-use pathways and ACCIÓ-supported patent work. Relevant to CATBIS as Catalan climate-tech infrastructure at the intersection of energy transition, circular economy, carbon capture, and possible bioeconomy/microalgae pathways.",https://www.4bluetech.com/,
Riccardo Pavesi,,,ind,,,,,,,,,,,,,,,,,,r.pavesi.wrd@gmail.com,,https://soulfoodforestfarms.it/,
Tech Bloc4,,,org,,,,,,,,,,,,,,,,,,,,https://linktr.ee/techblocbcn4?fbclid=PAQ0xDSwLSKoRleHRuA2FlbQIxMQABp8xAzNCmfEDSHV17MTmxiIunBM8hlZxxBdoxrjK3HewNKKkrW70CMgNi0n1X_aem_e1X8OMZppX3wq1WjfdHMGg,
Coop Halal,CATBIS,,org,"Added CATBIS with confirmation flag: clear Catalan ethical/cooperative finance relevance, but specific regenerative role should be checked.","Ops in Catalunya, Ops in Spain, catalan",regional,,,"Barcelona-based Islamic financial services cooperative offering ethical, interest-free financial services and financing for individuals and businesses.",,,,,,"Eco Social Transition, Impact Investing",,"Alternative Finance (https://app.notion.com/p/Alternative-Finance-3331441510e1818f9c0defb3e55bef58?pvs=21), Collective_Ownership_Models (https://app.notion.com/p/Collective_Ownership_Models-3331441510e1811db7b2e4505cc30563?pvs=21), Investment_Vehicles (https://app.notion.com/p/Investment_Vehicles-3331441510e1819da547e4c9865b3be1?pvs=21), Structuring_and_Capitalization (https://app.notion.com/p/Structuring_and_Capitalization-3331441510e181ca9fbeeaf2171d3045?pvs=21)",ethical finance; Islamic finance; cooperative finance,+34 931 86 78 74,,info@coophalal.eu,"Barcelona-based Islamic financial services cooperative offering ethical, interest-free finance for individuals and businesses. Relevant to CATBIS as Catalan cooperative/alternative finance infrastructure connected to social economy, financial inclusion, and values-aligned economic transition.",https://coophalal.eu/,
TIC Salut Social,,,"org, public body",,,,,,,,,,,,,,,,,,,,https://ticsalutsocial.cat/en/,
Jordi Rojas,,,ind,,,,,,,,,,,,,,,,,,,,,
YPlasma,,,org,,,,,,,,,,,,,,,,,,,,https://yplasma.tech/,
ARCA — Associació d'Iniciatives Rurals i Marítimes de Catalunya,CATBIS,"Ecosystems, Food, Social, Water","network/ecosystem, org",Possible duplicate should be checked later only if another fuller ARCA row appears; no duplicate confirmed in this batch.,"Ops in Catalunya, catalan",regional,,,"ARCA is the Catalan regional network for rural and maritime development. It supports and represents 11 Local Action Groups and 5 Fisheries Local Action Groups, helping rural and coastal territories create better livelihoods and opportunities.",,,,,,"Bioeconomy, Eco Social Transition",,"Governance_Bodies (https://app.notion.com/p/Governance_Bodies-3331441510e181688959d5e2a5457fc6?pvs=21), Network_Weaving (https://app.notion.com/p/Network_Weaving-3331441510e18111a00ac80e1492315c?pvs=21), Participatory_Planning_and_Strategies (https://app.notion.com/p/Participatory_Planning_and_Strategies-3331441510e181b09adbd91296317ceb?pvs=21), Political_Advocacy (https://app.notion.com/p/Political_Advocacy-3331441510e1812880fdd8d661966799?pvs=21), Water_Management (https://app.notion.com/p/Water_Management-3331441510e181288124c49fd649d9ba?pvs=21)",rural development; maritime development; local action groups; fisheries local action groups; LEADER; territorial development; Catalunya,,,,"Catalan rural and maritime development network. Relevant to CATBIS as territorial infrastructure for rural development, maritime transition, LEADER-type programs, fisheries local action groups, local opportunity-building, and ecosystem coordination across Catalunya. Strong cross-cutting fit for food systems, coastal/maritime economies, local resilience, and social territorial development.",https://www.desenvolupamentrural.cat/,
Estabanell,,,org,,,,,,,,,,,,,,,,,,,,https://estabanell.com/particulars/es/energia/solar/,
Febea - European Federation of Ethical and Alternative Banks and Financiers,,,,,,,,,,,,,,,,,,,,,,,https://febea.org/,
"Certifydoc ",,,org,"Potential data-infrastructure relevance, but not clearly regeneration/CATBIS from row context.","Ops in Catalunya, Ops in Europe, catalan",,,,"Barcelona-based legaltech / data-certification service providing secure certification, timestamping, and legal validity for digital documents, blockchain data, media, and complex data chains across the EU.",,,,,,,,,legaltech; blockchain; data certification; digital identity; EBSI,,,,,https://www.certifydoc.eu/,
Gabriel and Hanne,,,ind,,,,,,,,,,,,,,,,,,,,,
BiorNe Permacultura Catalunya y Aragón,CATBIS,,org,Added CATBIS: clear permaculture/regenerative design relevance in Catalunya/Aragón. No collaboration status inferred.,"Ops in Catalunya, Ops in Spain, catalan",regional,,,"Permaculture organization/project working across Catalunya and Aragón around permaculture education, design, and regenerative land/community practices.",,,,,,"Bioregionalism, Eco Social Transition, Regeneration",,"Regenerative_Agriculture (https://app.notion.com/p/Regenerative_Agriculture-3331441510e181a3a4c8d5e5948fe526?pvs=21), Learning_Programs (https://app.notion.com/p/Learning_Programs-3331441510e181f48fccd81f52b7a58f?pvs=21), Demonstrator_Site (https://app.notion.com/p/Demonstrator_Site-3331441510e181008114ef47089f4baa?pvs=21), Peer_Learning (https://app.notion.com/p/Peer_Learning-3331441510e1811fa2ebc276ab53a2f6?pvs=21), Cultural_Hub_or_Learning_Center (https://app.notion.com/p/Cultural_Hub_or_Learning_Center-3331441510e18163bf4ce6a952135f8c?pvs=21)",permaculture; regenerative design; agroecology,,,,"Permaculture organization working across Catalunya and Aragón on permaculture education, design, and regenerative land/community practices. Relevant to CATBIS as a Catalunya-facing node for regenerative design, agroecology, permaculture learning, and bioregional rural/land practices.",https://www.biornepermacultura.org/,
De Bat a Bat,,,,,,,,,,,,,,,,,,,,,,,,
Cactus,,,org,,"Ops in Catalunya, catalan",,,,"Barcelona-based engineering company developing IoT, hardware, firmware, cloud, AI, and edge-to-cloud technology solutions for sectors including smart cities, energy, healthcare, agriculture, and industry.",,,,,,Eco Social Transition,,,IoT; engineering; smart cities; energy management; AI,,,,,https://cactusiot.com/en,
Mariló Fundició,,,ind,,,,,,,,,,,,,,,,,,marilo@lafundicio.net,,,
Regeneracio' XYZ,CATBIS,,org,"Added CATBIS with strong review flags: likely Catalunya/regeneration relevance, but current source is Instagram only and needs confirmation.","Ops in Catalunya, catalan",regional,,,Regeneració XYZ appears to be a Catalunya-facing regenerative project or initiative currently referenced through Instagram.,,,,,,Regeneration,,"Ecosystem Regeneration (https://app.notion.com/p/Ecosystem-Regeneration-3331441510e1816d83f1e6eb4734ef50?pvs=21), Network_Weaving (https://app.notion.com/p/Network_Weaving-3331441510e18111a00ac80e1492315c?pvs=21)",regeneration; Catalunya; source check needed,,,regeneracioxyz@gmail.com,"Potential Catalunya-based regenerative initiative. Relevant to CATBIS if confirmed because the name/source suggest regenerative activity in Catalunya, but the current CRM evidence is too thin for confident classification.",https://www.instagram.com/regeneracio.xyz/,
Tres Cadires,,,org,,,,,,,,,,,,,,,,,,,,https://trescadires.cat/qui-som/,
Suculenta,,,,,,,,,,,,,,,,,,,,,suculentalh@gmail.com,,,
Fiare Banca Etica,,,org,,,,,,,,,,,,,,,,,,,,https://www.fiarebancaetica.coop/,
XES Xarxa d’Economia Solidaria de Catalunya,,,org,,,,,,,,,,,,,,,,,,,,https://xes.cat/,
Amsterdam Doughnut Coalition,,,org,"Added CATBIS with confirmation flag: useful transition-method reference, but Catalunya-specific relevance is indirect.",Ops in Europe,regional,,,"Network of changemakers in Amsterdam using Doughnut Economics to connect local initiatives, make collective efforts visible, and help the region move toward a fair social foundation within ecological limits.",,,,,,"Eco Social Transition, Regeneration",,"Doughnut_Assessment (https://app.notion.com/p/Doughnut_Assessment-3331441510e181ababd6f63ffc463c59?pvs=21), Network_Weaving (https://app.notion.com/p/Network_Weaving-3331441510e18111a00ac80e1492315c?pvs=21), Participatory_Planning_and_Strategies (https://app.notion.com/p/Participatory_Planning_and_Strategies-3331441510e181b09adbd91296317ceb?pvs=21), Socioeconomic_Indicators (https://app.notion.com/p/Socioeconomic_Indicators-3331441510e18157a612f3f5a0403f09?pvs=21), Systems_and_Resource_Mapping (https://app.notion.com/p/Systems_and_Resource_Mapping-3331441510e1817db512f22616e77166?pvs=21)",Doughnut Economics; place-based transition; social foundation; ecological limits; network weaving; Amsterdam,,,,"Amsterdam changemaker network using Doughnut Economics to connect local initiatives, visualize collective efforts, and support a fair social foundation within ecological limits. Relevant to CATBIS as a European reference for place-based transition, doughnut assessment, network weaving, and ecological/social threshold thinking, though not Catalunya-specific.",https://amsterdamdonutcoalitie.nl/,
Xavi,,,ind,,,,,,,,,,,,,,,,,,,,,
La Collectiva - Ateneu Cooperatiu Hospitalet,,,"org, public body",,,,,,,,,,,,,,,,,,,,,
XES Sant Andreu,,,org,,,,,,,,,,,,,,,,,,,,https://xes.cat/sant-andreu,
UpperMoor,,,org,,,,,,,,,,,,,,,,,,,,https://uppermoor.nl/,
Conservation Careers,,,org,"Useful conservation-sector resource, but no Catalunya-specific regeneration link in the row; CATBIS not added.",international,,,,"Global conservation careers platform and job board providing conservation jobs, training, courses, volunteering, funding opportunities, and career resources.",,,,,,Regeneration,,,conservation; biodiversity; careers; training,,,,,https://www.conservation-careers.com/,
Inartem Coop,,,org,,,,,,,,,,,,,,,,,,,,https://www.inartem.coop/es,
La Bassa Mar,,,org,,,,,,,,,,,,,,,,,,,,https://bassa-mar.org/en/,
Granja del Tilo,,,org,,,,,,,,,,,,,,,,,,,,https://lagranjadeltillo.com/,
Civic Energy,CATBIS,,org,"Ontology relation filled for civic/community renewable energy, commons governance, collective ownership, network weaving and participatory planning.","Ops in Catalunya, catalan",regional,,,Catalan service supporting the creation and management of citizen / community energy communities through all phases of development and operation.,,,,,,Eco Social Transition,,"Renewable_Energy (https://app.notion.com/p/Renewable_Energy-3331441510e181f58896c3f08d1d6ee6?pvs=21), Commons_Governance_Protocols (https://app.notion.com/p/Commons_Governance_Protocols-3331441510e181019702eb428e0a8448?pvs=21), Collective_Ownership_Models (https://app.notion.com/p/Collective_Ownership_Models-3331441510e1811db7b2e4505cc30563?pvs=21), Network_Weaving (https://app.notion.com/p/Network_Weaving-3331441510e18111a00ac80e1492315c?pvs=21), Participatory_Planning_and_Strategies (https://app.notion.com/p/Participatory_Planning_and_Strategies-3331441510e181b09adbd91296317ceb?pvs=21)",energy communities; civic energy; renewable energy; energy democracy; community energy; Catalunya,,,info@civicenergy.cat,"Catalan service provider for creating and managing citizen/community energy communities. Relevant to CATBIS as operational support infrastructure for local renewable energy, civic energy, energy democracy, and territorial energy transition.",https://civicenergy.cat/,
Anne-Marie George,,,ind,Moved LinkedIn URL from Website to LinkedIn. No additional context available in CRM row.,,,,,,,,,,https://www.linkedin.com/in/annemarienataliegeorge/?originalSubdomain=uk,,,,,,,,,,
La Brostada,,,org,,,,,,,,,,,,,,,,,,,,https://www.labrostada.cat/,
Salvem l’Alzina,,,,,,,,,,,,,,,,,,,,,,,https://www.instagram.com/salvem_lalzina,
Zertifier,,,org,,,,,,,,,,,,,,,,,,,,https://zertifier.com/,
Vegga Digital,,,org,,,,,,,,,,,,,,,,,,,,https://veggadigital.com/,
De Ceuvel,CATBIS,,"org, space","Added CATBIS with confirmation flag: strong circular urbanism/demonstrator-site reference, but Catalunya-specific relevance is indirect.",Ops in Europe,regional,,,"Amsterdam circular-economy and creative workspace / urban experiment on a former shipyard, combining sustainable offices, cultural activity, clean-tech pilots, and community space.",,,,,,"Eco Social Transition, Regeneration",,"Materials_Transformation (https://app.notion.com/p/Materials_Transformation-3331441510e181788e3ad7ffb8a2be05?pvs=21), Demonstrator_Site (https://app.notion.com/p/Demonstrator_Site-3331441510e181008114ef47089f4baa?pvs=21), Cultural_Hub_or_Learning_Center (https://app.notion.com/p/Cultural_Hub_or_Learning_Center-3331441510e18163bf4ce6a952135f8c?pvs=21), Construction_and_Infrastructure (https://app.notion.com/p/Construction_and_Infrastructure-3331441510e1817dad9bdcf168000c8f?pvs=21), Network_Weaving (https://app.notion.com/p/Network_Weaving-3331441510e18111a00ac80e1492315c?pvs=21)",circular economy; sustainable urbanism; creative workspace; clean-tech,,,,"Amsterdam circular-economy workspace and urban experiment on a former shipyard, combining sustainable offices, cultural activity, clean-tech pilots, and community space. Relevant to CATBIS as a European reference for circular urbanism, demonstrator sites, creative/ecological hubs, and regenerative urban transition, though not Catalunya-specific.",https://deceuvel.nl/en/,
Radical Civics,,,,,,,,,,,,,,,,,,,,,,,https://radiclecivics.cc,
Toon Maassen,,,ind,,,,,,,,,,,,,,,,,,,,https://www.linkedin.com/in/toonmaassen/,
Viro AI,,,org,,,,,,,,,,,,,,,,,,,,https://ai.viro.app/,
Anigami,CATBIS,"Ecosystems, Social",org,,"Ops in Catalunya, catalan","Osona, regional",,,"Anigami is a Catalan nature-experience organisation active in outdoor education, adventure, forest bathing, and nature-connection activities, with activities including Collsacabra / Osona.",,,,,,"Eco Social Transition, Regeneration",,"Visitor_Experiences (https://app.notion.com/p/Visitor_Experiences-3331441510e18183bed0e44473df1b34?pvs=21), Learning_Programs (https://app.notion.com/p/Learning_Programs-3331441510e181f48fccd81f52b7a58f?pvs=21), Cultural_Hub_or_Learning_Center (https://app.notion.com/p/Cultural_Hub_or_Learning_Center-3331441510e18163bf4ce6a952135f8c?pvs=21), Demonstrator_Site (https://app.notion.com/p/Demonstrator_Site-3331441510e181008114ef47089f4baa?pvs=21)",nature-based activities; rural regeneration; forest bathing; ecological education; nature connection; Catalunya,,,,"Catalan nature-activity and environmental education actor. Relevant to CATBIS through nature connection, ecological education, forest bathing, rural/nature-based experiences, and community wellbeing. Area2 set to Osona because available activity evidence points to Collsacabra / l’Esquirol; broader Catalunya scope remains possible.",https://www.anigami.cat/,
Cevco,CATBIS,,"network/ecosystem, org","Added CATBIS with confirmation flag: strong circular/regenerative regional-development reference, but Catalunya-specific relevance is indirect.",international,regional,,,"Not-for-profit cooperative advocating and sharing knowledge around circular economy villages and regenerative regional development, especially in Australia.",,,,,,"Bioeconomy, Eco Social Transition, Regeneration",,"Materials_Transformation (https://app.notion.com/p/Materials_Transformation-3331441510e181788e3ad7ffb8a2be05?pvs=21), Network_Weaving (https://app.notion.com/p/Network_Weaving-3331441510e18111a00ac80e1492315c?pvs=21), Participatory_Planning_and_Strategies (https://app.notion.com/p/Participatory_Planning_and_Strategies-3331441510e181b09adbd91296317ceb?pvs=21), Community_Housing (https://app.notion.com/p/Community_Housing-3331441510e181cb8a1bc39f7c948f3b?pvs=21), Cultural_Hub_or_Learning_Center (https://app.notion.com/p/Cultural_Hub_or_Learning_Center-3331441510e18163bf4ce6a952135f8c?pvs=21)",circular economy; regenerative development; villages; regional development,,,,"Not-for-profit cooperative advocating and sharing knowledge around circular economy villages and regenerative regional development. Relevant to CATBIS as an international reference for circular settlements, cooperative regional development, and regenerative village models, though not Catalunya-specific.",https://www.cevco.life/,
Jakub Lanc,,,ind,,,,,,,,,,,,,,,,,,,,,
Dagan Cohen,,,ind,,,,,,,,,,,,,,,,,,,,https://www.linkedin.com/in/dagancohen/?originalSubdomain=nl,
IAEDEN Salvem l’Empordà,,,org,,,,,,,,,,,,,,,,,,,,https://iaeden.cat/,
SMUC Scaling Material Urban Commons,,,,,,,,,,,,,,,,,,,,,,,https://smuc.kitchen/,
Irina Panovich,,,,,,,,,,,,,,,,,,,,,,,https://www.linkedin.com/in/irinapanovich/,
Afrikaander Cooperative,,,org,,,,,,"Afrikaander Cooperative (Rotterdam) appears to be a neighborhood cooperative model focused on local community economy and shared services. This entry needs website verification to confirm exact programs, but it likely supports resident-led initiatives, mutual aid, and local enterprise development in the Afrikaanderwijk area.",,,,,,,,"Community Governance (https://app.notion.com/p/Community-Governance-3331441510e18140bdbaddbb869636fc?pvs=21), Commons_Governance_Protocols (https://app.notion.com/p/Commons_Governance_Protocols-3331441510e181019702eb428e0a8448?pvs=21), Community_Housing (https://app.notion.com/p/Community_Housing-3331441510e181cb8a1bc39f7c948f3b?pvs=21), Network_Weaving (https://app.notion.com/p/Network_Weaving-3331441510e18111a00ac80e1492315c?pvs=21)",,,,,,https://www.wijkcooperatie.org/en/about_us/,
Sarah Barns,,,ind,,,,,,,,,,,,,,,,,,,,https://sarahbarns.me/,
Mixite',,,,,,,,,,,,,,,,,,,,,,,,
Design Neighborhoods Studio,,,org,,,,,,,,,,,,,,,,,,,,,
Ledger Loops,,,,,,,,,,,,,,,,,,,,,,,https://ledgerloops.com/,
Andrea Farias,,,ind,No additional context available in CRM row. Kept as individual contact; no online research needed for this individual.,,,,,,,,,,,,,,,,,,,,
Laurel,,,org,,,,,,,,,,,,,,,,,,economiassilvestres@gmail.com,,https://www.instagram.com/laurel31_economiassilvestres/?hl=es,
Gijs van Maanen,,,ind,,,,,,,,,,,,,,,,,,,,https://www.linkedin.com/in/maanenvangijs/,
Oscar Gussyner,,,,,,,,,,,,,,,,,,,,,,,,
Fatima Zohra,,,,,,,,,,,,,,,,,,,,,fatima1sara@gmail.com,,,
La Marmita,,,,,,,,,,,,,,,,,,,,,,,,
AnaWin / TACTIC,CATBIS,"Circular, Food",org,,"Ops in Catalunya, catalan","Mediterranean Dry Interior, Terra Alta",,,"AnaWin / TACTIC is a Terra Alta-based agri-food software company building tools for vineyard, winery, traceability, compliance, and agricultural management.",,,,,https://www.linkedin.com/company/terra-alta-consultoria/,"Bioeconomy, Eco Social Transition",,"Knowledge_Artefacts (https://app.notion.com/p/Knowledge_Artefacts-3331441510e181af8b5ac77d9bd2ab97?pvs=21), Value_Chain_Development (https://app.notion.com/p/Value_Chain_Development-3331441510e181b0bf6efa361478dbf2?pvs=21), Farmer_Support (https://app.notion.com/p/Farmer_Support-3331441510e18121891cff38c403492d?pvs=21), Regional_Sourcing (https://app.notion.com/p/Regional_Sourcing-3331441510e181fa86cfe532fb8c7876?pvs=21)",agritech; wine sector; vineyard management; traceability; agri-food systems; Terra Alta; Catalunya,,,info@tacticterraalta.com,"Catalan agritech and wine-sector software company based in Batea, Terra Alta. Relevant to CATBIS as digital infrastructure for viticulture, traceability, agri-food management, and compliance in a Catalan bioeconomy sector. Regenerative relevance is indirect but acceptable as agri-food / territorial productive infrastructure.",https://anawin.wine/,
"Montse Gabaldà ",,,,,,,,,,,,,,,,,,,,,,,,
Sergi Selvas,,,,,,,,,,,,,,,,,,,,,,,,
PlataformESS,,,,,,,,,,,,,,,,,,,,,,,https://plataformess.org/,
Nadia - Olla,,,,,,,,,,,,,,,,,,,,,Aqui.nad@gmail.com,,,
Collective Abundance,CATBIS,,"funder, network/ecosystem, org","Added CATBIS with confirmation flag: strong climate justice / participatory funding relevance, but Catalunya-specific link should be confirmed.",Ops in Europe,regional,,,European climate-justice movement-building initiative using philanthropic funding and participatory regranting to strengthen grassroots and frontline climate justice ecosystems.,,,,,,"Eco Social Transition, Impact Investing, Regeneration",,"Grants_Programs (https://app.notion.com/p/Grants_Programs-3331441510e18166b8a7ffb8c528af98?pvs=21), Network_Weaving (https://app.notion.com/p/Network_Weaving-3331441510e18111a00ac80e1492315c?pvs=21), Political_Advocacy (https://app.notion.com/p/Political_Advocacy-3331441510e1812880fdd8d661966799?pvs=21), Alternative Finance (https://app.notion.com/p/Alternative-Finance-3331441510e1818f9c0defb3e55bef58?pvs=21), Participatory_Planning_and_Strategies (https://app.notion.com/p/Participatory_Planning_and_Strategies-3331441510e181b09adbd91296317ceb?pvs=21)",climate justice; philanthropy; movement building; participatory funding,,,,"European climate-justice movement-building and participatory funding initiative strengthening grassroots/frontline ecosystems. Relevant to CATBIS as climate-justice and alternative-finance infrastructure for movement capacity, regranting, and ecosocial transition across Europe, with possible relevance for Catalan grassroots climate ecosystems.",https://www.collectiveabundance.org/,
Julia Barashkov,,,ind,,,,,,,,,,,,,,,,,,,,https://linktr.ee/Julia_barashkov,
I Love PDF,,,,,,,,,,,,,,,,,,,,,,,,
"Maria Elena - Top Manta contact ",,,ind,,,,,,,,,,,,,,,,,,convocatorias@manteros.org,,,
Martin Born,,,ind,,,,,,,,,,,,,,,,,,,,,
